Age,Annual_Income,Employment_Type,Investment_80C,Insurance_80D,HRA_Claimed,Other_Deductions,Previous_Year_Tax,Effective_Tax_Paid,Overpayment_Risk
46,250000.0,0,49441.88163900468,31143.80745103018,62466.10857916173,66978.34696718132,2172.8137256181926,2262.303900355751,0
48,495767.64027468476,0,39147.888298364,12980.704933696019,134662.030903416,44788.237466359526,11050.834525504732,12974.764339007226,0
49,425827.6138360236,0,3570.0600543453475,29087.420897409687,56363.30600589547,23342.50999214094,13633.889100132043,14914.229046117722,0
37,389812.78936562,0,43620.65882433509,12047.602131847141,92963.48635749149,52733.815452343835,8736.601320794622,9428.956078236522,0
36,371377.3891818482,0,31665.166319933567,22322.263610195332,109563.88625549372,18986.60619492951,9063.373388939086,9530.589334199,0
24,394468.06579843146,0,44529.68800609546,6135.284966865351,87722.90444723624,44089.07276722064,11160.882371256239,9645.25204183967,1
58,364564.5802753124,0,17085.48435651141,1865.0273930739093,48951.13360915009,1720.712965969482,16403.4046820362,16449.283610953094,0
28,320794.9242155043,1,23225.94324058594,16029.365299586696,0.0,44000.79575809215,14843.478661286103,13645.394761847298,0
42,435938.3321086253,0,44811.35286540542,13728.587532487074,89657.13340250547,66612.57993134932,10707.743477756365,12502.639503026317,0
30,472623.8678399429,0,13628.656795684074,20346.795601567337,126668.77527030335,16460.012989435378,18700.085461789513,16477.675646575317,1
39,284414.8128420729,0,45775.043812270764,48099.13100001698,36937.602907556735,54472.564070104425,5315.893110274662,5690.832892950901,0
25,339889.6646218914,0,41424.98560721346,26111.46473851642,79268.81047411918,20539.64849409211,9315.731670581688,9722.483785877768,0
46,369306.73731026973,0,49027.89704546467,27658.835306837827,104337.84663808244,49549.4824110049,6438.998219477677,7436.708941333963,0
35,400721.99610651773,0,16212.879350818155,47080.051939368714,82710.4480984063,48998.065891146776,9622.2389880975,9686.240657697974,0
30,380772.1795621349,0,11787.65900023917,46057.35687959165,60059.96204049627,12931.641918333497,13477.148681269979,11735.568382419273,1
47,498958.1799484591,1,16543.344852286406,44205.59769502089,0.0,41798.95372947139,17764.800053211577,18080.172679883257,0
23,250000.0,0,47732.489799436764,4899.737101485652,39797.23326191652,60141.826717920754,5706.723643847698,4885.8439830266925,1
41,250000.0,0,16653.66480264708,31714.87052601652,42744.2101463429,26777.314860769286,8398.970039240745,7280.618535181741,1
49,429035.40988803667,0,28260.590997861906,40404.94902467559,103822.71690368048,49719.38659442388,9217.938829198709,10574.834675554643,0
28,309597.1228258317,0,20183.96412932571,41778.73447885475,42019.84702087648,47210.102466418255,7514.620778028082,7853.538830060686,0
29,532636.3458660716,0,65659.81300336028,28895.357125094804,64566.695111987465,18025.980126042257,19262.072722067365,16482.383692041283,1
56,575470.1428882825,0,47404.07488911497,874.7773743084553,102081.44488239249,64305.04918499923,14171.012167034058,16469.6263720561,0
35,435062.07646343653,0,26853.9770398795,48685.645082086754,83414.76659282846,39445.845888139105,13227.071324888535,11830.663775159232,1
38,250000.0,1,42470.21274836034,23609.83513790607,0.0,24870.485976386688,8586.160442461045,7355.889455828038,1
57,558189.027434059,1,34453.65121984837,19679.794763679907,0.0,11505.08629917057,25531.103410487784,22802.306078737605,1
25,429835.3993225491,0,44461.32968317108,19747.43568386315,119432.14774928127,33142.084669383825,11814.222349039355,10640.232211455832,1
23,250000.0,1,33273.64825686497,21207.544002913324,0.0,51107.940653119,8481.37981824816,7406.189763452534,1
27,250000.0,0,30836.904028745143,12109.03590863765,51430.39113459645,43654.81888396916,5739.911409944033,5299.881604200324,0
25,627542.0184562968,1,86331.0209631593,16366.681287491492,0.0,50893.67916869343,25335.17878164184,25383.82266217993,0
50,602670.3869891844,0,56664.28523590225,49267.88048873696,60438.398625536145,55423.25266102689,16683.13900637837,19132.8203127253,0
39,250000.0,0,20757.225193414386,18408.40001280471,53971.59113599638,30870.333654260798,6545.818561023322,5814.429571911596,1
47,250000.0,1,39964.50029521073,26336.25082368945,0.0,36411.63288170047,9102.256289800203,7800.783188936805,1
55,571128.3243432483,1,57574.293324266066,42414.71329876092,0.0,69049.54781066233,20465.941491600224,19888.087896174373,0
31,397226.11174104275,1,23501.01047863484,26371.390555443177,0.0,67763.59770746059,13228.764469259966,12764.412181078365,0
57,505277.39282381395,0,31766.9044248888,16222.67108090838,124077.77666056709,29037.198733120138,17139.128131020996,17292.15602633589,0
35,390707.0880852855,1,36677.917646775335,26187.548845926507,0.0,47962.566694454654,16780.48655798371,14592.88327685858,1
52,498173.87351068057,1,20885.108833930284,5704.315521954873,0.0,18731.312482949696,19739.809473292637,23082.605744827506,0
36,400875.031999815,0,26267.93842368019,6500.347761638492,93131.67881818471,10688.828194495389,15741.544186204586,14731.108129830616,0
29,334358.76148645504,0,5734.465890537932,34705.376611533444,97190.4734346257,53788.08558366135,9464.570009444215,8106.041375485595,1
35,558811.5744872214,0,119254.28059086931,45873.03286298728,83582.87736869715,30532.5978592617,11830.27979705874,13350.534325863351,0
44,430308.1924038469,1,15123.391349242298,36283.90667442591,0.0,12393.696255501327,23956.47637237833,20204.37130792332,1
42,497858.30743653496,0,31749.483079822516,3730.6620328678596,68329.28079447064,53119.354646438296,22446.66661288286,18883.574787695292,1
37,423617.188744115,0,29061.81724272327,20144.780551550284,103700.36521678521,64061.92518558164,11095.67197955352,9439.701587950845,1
39,327046.46596752806,0,39254.610196249516,127.67941340318667,55806.50502909287,65329.14503204158,9082.503332037935,8975.771237181776,0
45,641258.3967035789,0,56445.32600597645,25560.337166281643,190927.3944568427,41743.35959238337,14714.580078794637,14953.241270218017,0
47,453245.23821364983,0,37796.36724986186,9660.22424409257,110106.76631867702,33574.87902824115,15077.375289889109,13743.165329373369,0
46,346742.7033441773,0,19125.08653428672,43407.33243643284,60151.32129887403,9930.661031326392,10987.58874268122,11427.055276366655,0
50,591749.4205478074,1,67004.48692617142,5216.75264345412,0.0,55495.286297927225,20109.409153738816,23010.571581524437,0
36,250000.0,0,33635.62632433851,71.66993235152019,54601.24082638611,66172.62064702027,6235.4076707565455,5349.995426727486,1
22,735442.547619398,1,100585.71945664218,22557.30215568802,0.0,62262.22895321777,41293.284911020935,38512.6837420705,0
46,373127.53635048575,0,33343.331806027956,7771.665196286959,104886.82816446362,52624.84181063696,9107.235875643555,9872.298809680322,0
28,250000.0,0,44993.976028557605,36899.31911375808,47070.21999382373,319.8203813543232,5059.355698157958,5907.405068404875,0
30,685891.2022686347,0,55664.31265590606,45996.73658906975,108734.32743110791,28542.56122251385,22321.853041101236,20233.17090305582,1
45,330524.85803908133,0,45030.836605097466,2096.900715128358,71958.68679583173,28749.992019126552,11569.83010589226,10074.037317339691,1
22,436486.6854783441,0,6543.176297168934,19779.105595804835,55606.17773261646,62605.77630718123,13839.656536002176,13951.595045505219,0
29,507653.61121591955,1,89357.72871269826,49840.74880354749,0.0,4595.550184333383,16247.429309531934,18498.421287657875,0
45,577625.8791490218,0,79286.75862421597,36633.598500033426,64244.876336965455,37185.580871734855,21425.251466035286,19893.133393834018,0
32,444966.1845582347,0,24731.79702077947,47659.38218529036,98505.60668954982,9529.408274898202,12037.586032771762,12619.004543562369,0
38,302902.6887504944,0,15545.601443108913,8204.164260807778,62407.87963425747,46360.57399861806,7501.622902236221,8331.606236777,0
29,432848.8785000989,0,25186.63726541171,11068.427974597678,88367.48211598117,55457.884172472666,13127.38511219287,12761.89969176023,0
56,337102.6682002418,1,8088.667819235163,7740.562029841297,0.0,44937.14483801419,13623.435229740155,13374.071602835373,0
56,437351.75145467854,0,18466.04721058378,15118.451688796913,47623.81078211903,55620.95987144381,15727.442014380513,15256.479923018704,0
54,644222.4318635287,0,38881.28257354897,36219.2034164526,123656.1076160151,42524.74084123162,20696.461634477844,18180.685414534353,1
26,513388.77874656906,0,81466.19398076876,8247.33303790941,96931.77126156834,13288.73773324135,15229.483808768056,14936.855003111421,0
49,430996.9657147508,0,4788.394309981348,26211.701894164424,82732.6640360823,26786.446295166228,18753.11093406605,16094.477091972867,1
28,510773.6248909511,0,44431.017951464906,13460.495955719904,151177.85514688698,66980.81713380785,13478.895974423083,11775.72858093637,1
30,521512.0977863779,0,37692.012133873315,41459.78895684577,66678.29151982717,20172.243894460466,20292.41664935724,18826.045039762008,0
29,250000.0,0,19065.531997603895,329.62026694695055,59521.48785297962,4400.3668984345,6945.889044626228,7984.7152719359665,0
33,406258.4066823547,0,42097.92272091743,11155.74792693334,73288.70272101014,26938.09824268868,15479.377930909412,13428.444413760059,1
55,784379.1488998774,0,111620.67524704449,30262.0378786091,158715.4380138186,25641.498319088016,30740.8195123629,26342.87156458245,1
54,581923.14775478,1,36470.05091400121,4835.525098692128,0.0,32921.61710126924,27313.44001725468,27834.884915129016,0
44,324484.66612582,0,31727.50704308135,23315.61079729948,42661.65020055383,39221.239545684875,10251.886369389373,9913.31574789823,0
45,309518.81558235676,1,34219.27122960367,21810.364824118482,0.0,69469.62865549626,8096.507558848988,8537.402639428075,0
58,304521.14152365964,1,26688.497121601205,42626.150341088185,0.0,52936.3759530212,7800.009416661461,9121.210170896675,0
56,529947.9925393086,0,90028.63753225913,31269.859658340665,104220.58030209197,2512.353498039722,17134.372150782954,16834.584042050996,0
43,641146.1381674326,0,51032.16438987857,31985.103107955132,159269.78674887936,49889.862974455886,17317.142543086,19342.80545139249,0
48,487325.0566720087,0,24482.210590950803,47590.3800894583,67499.53544580219,57696.22238882309,13663.655709378732,14946.618945758055,0
56,423574.3524803227,1,19543.792451791425,49118.01876616875,0.0,62694.151721907045,16750.09218775378,16449.901487570663,0
22,333376.6963550843,0,4485.3975719815535,32669.73660764193,44459.950129431214,29680.42720316809,11985.002367712821,10390.448597441664,1
56,449405.97183752904,0,31277.82198612445,26100.072507602712,116777.13124206202,21953.789767409467,15445.658663732065,13482.340841671747,1
58,276981.74198556854,0,24760.759633577312,30396.002923243992,53675.49257304301,58752.73549062667,6251.482333122454,5263.191995646765,1
35,250000.0,1,13758.701345129159,19122.18525270802,0.0,54433.07865509771,8797.175678129346,8633.669378396864,0
24,645523.8535168674,0,72631.67343630342,49372.83084800387,182993.93580123474,37522.9714976078,14569.519628814285,13966.138877306314,0
22,250000.0,0,38764.90091987515,35251.06297484294,45421.07618068669,8251.794909060654,7903.516484365537,6946.676522468298,1
26,351275.1439496021,0,40082.88814040319,14550.339718958232,51493.95214872277,45623.293734767074,11977.795661297147,10939.768170207471,0
47,498453.6175943936,0,32476.306437468455,2888.314948603421,136293.5779608504,4596.729650301193,13991.607981787372,15308.310395221299,0
35,615170.0304019081,0,72097.30500601474,2236.096457598391,81401.34670580499,7025.676328311706,23707.376700102614,23962.30778118355,0
48,438569.5978627932,1,28787.481960192403,10245.649026326959,0.0,23179.816724766202,24100.43575550155,20507.418134940384,1
30,250000.0,1,19250.76856778086,11645.65271265558,0.0,25982.284780764367,8286.982342345367,9196.06382876798,0
36,354798.0325462673,1,6327.817149711912,20752.27469769501,0.0,32338.18272231961,12590.40912539404,13636.687655249718,0
36,298227.1892462381,0,19281.029869304595,10742.300581812691,41494.20294510601,23740.00714531241,9928.196653057532,10026.14188603494,0
47,394268.34587930184,0,26516.637803481713,31545.52154308723,51434.982941060836,2365.170880416351,15547.475099297597,13187.494533509953,1
34,584797.6706904453,0,83895.06131855256,10562.73654052909,87989.3044470328,11019.097909801352,18132.35198562757,20377.176089142475,0
53,250000.0,0,46790.04880273104,9393.8269470573,44570.34164282892,8057.837608242402,7709.3855460242985,7101.956431538399,0
53,338291.5254958764,0,38866.67225153081,23561.849640018496,44597.58288577774,30182.851899617162,9151.5665715701,10211.034019223505,0
25,327392.55454194726,0,7599.628072233866,44433.42996619094,84978.93250653907,14849.024902716517,9395.241419185428,9090.040030439108,0
51,250000.0,0,8709.110332646402,23415.27436893171,42851.76713044443,20548.170502647674,9182.113493812934,8847.695129279524,0
58,487823.61156244244,0,5024.737961987702,20692.437228608353,140111.40360597314,33009.722435530835,13724.18205061658,15867.589765288185,0
44,250000.0,0,36909.08636104589,28904.745372985442,67124.5432017662,16489.330186736963,6295.128781777859,5317.095679615626,1
36,250000.0,1,35306.11392459285,12860.683937581423,0.0,17215.03730702415,10357.48266659837,9147.150705933997,1
50,527660.382103092,0,118772.6611527193,17671.82772452172,83844.46591537818,58320.09241705981,10794.739622293122,11291.580801871865,0
57,625085.7053444003,1,76982.10758979138,10691.76278335653,0.0,38366.08076424547,20766.307797524994,23183.96655652881,0
34,388585.4847082061,1,41320.7464424441,28590.499730384185,0.0,59973.161610599775,13598.426004339053,14005.000271659886,0
53,250000.0,0,28821.99293213938,34869.378078460766,37847.42557904238,36016.81406534473,6488.282222438383,5578.933898712359,1
28,294166.8862332625,0,43704.33562637185,33684.932049528594,65133.65424327189,63648.49626963251,3879.482795378016,4327.658295732616,0
43,551200.2920867568,0,94891.89353724764,12740.890898238089,145295.88775111918,17831.945004510108,15299.5915983158,15736.095393709867,0
49,417465.73609950906,1,32144.200749562646,38982.41028739835,0.0,43166.90234130408,15834.985874939312,15478.870488271776,0
23,384844.18346771155,0,28256.133549152517,12797.683262496512,59710.01910553675,35226.22416977152,12058.314984568491,13996.728802583664,0
27,446957.45648697193,1,36148.52622214874,7515.5775633881485,0.0,64308.364867823504,17943.078654757453,19011.288760781288,0
49,394351.0084711839,0,20982.692133550525,17490.43743435972,102401.14002656603,29293.57045001318,10915.950228007432,10312.933779515175,0
49,631856.8446488826,1,38691.89226350977,29887.204458544147,0.0,59837.666928659724,28121.611171505338,29190.339455804104,0
41,287628.51029595983,1,1999.30643989204,7100.0909402198995,0.0,39473.28354241048,12687.05330214302,10987.468740868948,1
51,270406.132474718,0,23951.186580458696,32404.355605422814,47548.93981817507,49598.00663023481,7854.76656850514,6668.63116950586,1
32,250000.0,0,29964.579111007068,43153.39981267455,70725.45213593284,62082.51651836894,2242.8259460097706,2232.6895290565253,0
49,319001.85464114643,0,3942.451528531271,14657.025512903527,53888.23177101337,69783.44902933566,9982.534182975069,9633.724323388069,0
46,250000.0,0,14345.177445605112,22510.330805755973,60633.07181568516,51179.76910534037,5840.434280030553,5454.358967867205,0
54,432711.32629790856,0,16101.610298774354,11415.521281258905,51983.02975467142,22016.53670424479,18458.4292294315,17050.292650097545,0
22,403142.1048287715,1,28139.776760412562,18063.086453519743,0.0,20930.83953044768,15456.203830903098,17722.153391803127,0
48,250000.0,0,13924.122802139455,1098.528540125371,50165.038779581424,21637.267742437492,8062.710152503248,9280.413637252406,0
34,488370.9038541959,1,4782.429977800334,47688.469810641356,0.0,6853.582420964878,27994.397555866846,24280.54945746583,1
24,627521.930069481,1,44837.10668518951,20794.510660609754,0.0,3751.9224350208547,36110.950566417676,38956.52123037828,0
27,453675.75230065355,0,8697.39008020966,39443.50549090401,69338.76511028458,40659.001342658834,16585.156553442594,15728.922369857799,0
29,250000.0,1,42134.74721113807,7132.171867825482,0.0,56741.19690551847,7399.335872961753,6924.099376921073,0
48,698069.6456005158,0,55588.77182804623,40617.75220501994,147389.93755106968,2529.4177870752133,22705.9519544791,25018.609767681177,0
30,512038.52036065893,1,94322.25605232813,43007.36554811005,0.0,39664.40074952883,19792.546747732635,17726.38073730078,1
58,693462.7379782677,0,81105.48717053753,35773.85643438396,184591.65297573537,26023.278485598046,23347.97930186953,20248.343335922742,1
54,563608.5379224751,0,117933.48782547978,45160.416249170274,62892.58713000009,62473.9641790333,13910.31136476512,14644.249080298869,0
45,593577.3128305839,0,54554.0401992182,8359.856473406819,163703.2938949436,10177.085021662037,20124.636883832394,17390.1405257949,1
36,430790.0340401627,0,7918.651026460011,23824.091439431,51273.43751543219,39440.2403506682,12828.76069102935,14605.306187298773,0
53,360655.5981715251,0,2601.8918847280192,31005.476600807862,66025.08109506952,67964.44948963547,10028.357983089234,8873.378031569722,1
53,456022.1781598241,0,12047.983114064025,29809.648534874366,115410.49772836416,24152.307652554384,15432.348120335711,14368.518709498123,0
45,293682.2379630191,0,34203.54432076963,43052.04672631491,34155.89249252846,51924.38379054539,6670.695382891876,6328.399972536243,0
33,465082.12763503485,1,4262.911231843031,10784.568398644284,0.0,61771.58085280598,19105.87058873994,20531.88249687069,0
23,250000.0,0,12235.092257482927,8782.19162694332,41499.79018053971,13034.739373021011,7791.74389527877,7978.074775792445,0
24,406439.8367821619,0,42765.4184092006,12668.929742897571,99978.15266234564,69476.90261834027,10543.509274881908,9022.29190378609,1
58,601701.41801532,0,82465.76544280682,44577.502470643536,122958.45947068464,56657.06655273212,14423.072452311102,14237.846888215088,0
38,414146.2868393449,1,3476.0770126597727,47051.35413287874,0.0,9629.49806787777,18587.735999367425,17568.200122899343,0
23,659122.4107046481,1,34291.482982478694,28481.505213499862,0.0,21761.929036038633,42942.19005059526,36467.463509184316,1
23,360438.1918227092,0,3056.143766288344,25068.596728525987,91314.07920607431,43747.90268501406,10803.382680029146,10661.889237202902,0
49,550397.6369481742,0,114768.75451325274,30269.28040063282,141567.02873016387,61944.243382307475,9245.335929796856,9377.614368997267,0
44,268259.48894899513,0,42493.57142805273,30815.382492334702,51491.16546465102,13638.48658145942,6819.133086380928,5865.311755084681,1
58,544293.4929333068,0,106044.60378168973,8515.23524717479,56546.56851950961,51184.39077818466,21388.029691063413,18298.966763858207,1
53,434889.2362341725,1,46210.83811217729,34320.54408115651,0.0,18945.360925261455,15490.730841219942,15902.22654360316,0
54,367037.4256235907,0,25262.769512545514,22617.555117421278,91120.74272402267,56379.151543936525,10044.801283936771,9501.357921264598,0
22,250000.0,1,12367.233557167201,25869.09794240226,0.0,47840.94190925233,11104.571142965005,9352.755826968229,1
40,361843.48362916755,0,20067.400211925906,1515.8302167577742,106548.33179244841,36603.63242680251,8855.745074103525,10185.86945110051,0
23,432017.95289197157,1,35943.203644190544,38227.83162655152,0.0,45490.61736863,13918.131157117608,16110.237535968938,0
47,524306.4152829875,0,108842.95843691386,41771.39806339409,65320.902256011665,61351.1671873672,12627.743078267027,12250.392069504498,0
53,634142.4698648602,1,69158.18340295719,30971.077696727327,0.0,27049.810189253858,25284.85242346598,26561.558982276973,0
27,705254.9052048866,1,78184.28598438551,37436.181764833134,0.0,53847.51261092201,34577.77785737038,32817.21750302615,0
53,586940.1014684476,1,113860.4693948628,26135.300158605096,0.0,11123.380441284753,22556.179370245583,20440.516913108135,1
25,315686.4512043708,0,5374.931855471455,30917.668948927778,93140.85430446359,49082.989580933114,5942.680940378622,6798.037028143418,0
32,354279.38657233916,0,43114.9608487062,19728.58492316193,77192.62350200975,52546.01537301974,10343.59383200323,8925.904732115834,1
38,510837.32065655245,0,44337.673402674234,39593.71325312563,104485.44626447269,31009.838772811865,13046.426731789934,13777.888633317976,0
59,477942.16897717025,0,24193.067514531012,23413.54651322463,112159.28434650872,55553.54737097042,13979.039169482136,14213.973136371596,0
45,644251.8939087043,0,49658.08157967536,34010.64522094413,73951.14824354101,38997.23561145139,23027.328894846927,23789.475578660047,0
26,771908.4128064867,0,84265.28676215437,31071.468930975232,200000.0,65539.2078368626,20449.712869971107,17876.52633502816,1
55,740077.0292647334,0,80271.60795374395,35115.72591928749,169755.8410688337,7872.650517295517,18415.71364143321,20243.092632797605,0
27,624090.7299697517,0,64200.66278166767,39260.79375626116,83776.9010530549,9157.499838562724,18173.371507839085,21130.951962674753,0
43,479185.3973414346,0,43165.175742256215,25635.674079649758,108364.46367750732,58969.92094311888,15519.491266659184,13040.158563084015,1
32,602398.7594418767,0,89383.19882592538,40653.297462783434,132070.86334799748,58965.28921964465,16492.2461633272,13821.61485599998,1
37,649216.1520592594,0,94908.46124657494,24862.86186358045,73342.33634442382,32985.73258457811,21221.90133898799,22571.868584749715,0
54,377904.94041174726,0,7532.986910383427,47831.71614319684,57965.49330535018,67477.35469105614,8966.950822308592,10508.883305283483,0
30,320100.8541236861,0,44158.28389878088,37633.58743073971,57038.23489224039,47557.25230386922,7925.475631932102,7365.197776685787,0
27,284886.8499892488,0,8352.00818100092,8557.082487303209,42441.78935116411,68799.72727334434,7805.868438390657,7248.043439477455,0
37,268542.2899832045,1,11139.24821049801,41479.22356817156,0.0,37267.67766409228,10999.314738234305,9328.371577994136,1
50,250000.0,1,6402.756924844022,27579.383040331708,0.0,14112.93409736109,8822.549036458993,9243.45262092028,0
24,437485.25636765914,1,22017.960398440777,49223.047898693265,0.0,31107.51889203914,14494.664729811911,15818.2321767758,0
41,250037.07983678023,1,44385.461587615486,35940.95218367637,0.0,68634.07893629101,5285.723152278132,4959.702925416023,0
57,282471.67237969267,0,12622.375980492978,4219.537328509554,82278.74911231498,25928.976712058524,8876.760037185668,8475.974652646424,0
40,505188.33387650904,0,63637.80783806579,19748.02138051744,117259.87490847954,66991.15031943833,14956.212811430141,13581.64349618186,1
47,427241.35993802646,0,42303.321003771096,25863.77013366333,92463.22753835995,55791.49433720216,12049.692455164399,10389.505647891721,1
24,464443.74109505117,0,30890.763987944458,41950.68015799009,125173.11433145382,30947.442945509818,12687.607750625379,12130.678410786548,0
40,604772.3142838122,0,97645.47542816492,36467.27671648863,136929.29500322003,37930.97223703085,12877.989560336151,14268.824051270514,0
41,529679.4862811193,0,49260.00444925034,18468.003530581944,70506.83034915497,42520.73540976069,19754.410652173905,18647.757080717573,0
53,627832.9872178994,0,94484.08769993178,32671.63437513145,102305.22196258105,46603.625931121394,17108.98286661084,17441.495408146373,0
28,411996.4742167106,0,11380.528932088624,28845.545394918965,101628.01758098003,5368.945163058378,13622.974924499706,13508.72809852306,0
54,641768.5886968593,1,118858.25839895949,6302.630447620344,0.0,65351.16366913493,27877.91770369733,23509.41002259412,1
39,453960.514653619,0,27994.307806336867,11742.934649930026,135008.65151693797,41789.979917046585,13283.40152528302,12720.74431753718,0
22,425305.9391642804,0,34781.96290215685,17056.11563571572,95861.82181468875,65180.44537226738,8769.84359598953,9718.608077106588,0
32,619228.9309414756,0,40656.142572735254,9774.170318175145,173327.77412454432,44232.89299018553,18335.121523209426,18241.9868315333,0
49,269176.9481210057,0,12532.799002078476,7506.6922915012765,29856.047098497675,30171.084230682576,8861.671504794698,9529.184433431627,0
46,703540.0851313713,0,42576.65936079189,2909.8885065143522,150026.03184741078,39684.960807543255,19616.2421199399,21858.51301968181,0
44,357684.9969944071,1,19508.535763586155,43655.1282804465,0.0,58065.22918281995,12372.878738172996,11255.418919970161,0
52,250000.0,0,14206.793210269925,14447.170898242684,39362.211758909776,22828.80820161716,9544.8420185478,8920.419986021476,0
51,498025.29280837934,0,36646.11298152846,14516.030196678308,65229.022471593606,66952.20399531431,18015.97167377271,17589.838431237637,0
56,343401.77348226093,0,5435.448981407559,10311.406871507772,58413.33946838183,32616.863846401546,10726.636922193595,10746.696668293223,0
28,703871.0637866876,0,97685.34316053314,23769.868593194147,181913.5291403711,66936.59014681705,17219.22056617535,17884.966893312852,0
37,335064.8771822279,1,2285.241231929375,25712.09839611862,0.0,61652.96303202841,11224.71307159267,12743.726399236544,0
47,447167.3376027943,0,10100.89186611962,10414.067931254001,98407.10166486682,53736.33694910686,14872.769585805763,15577.750390335945,0
23,250000.0,1,39598.24959823015,30428.51689318253,0.0,32720.645960604426,9487.899406001363,8297.69382036419,1
22,521937.13673462067,1,96849.89769971053,36149.997979687454,0.0,41086.16010200241,20432.00968761875,18173.31411620754,1
33,283391.4886211643,1,23816.305695943167,18692.004298272597,0.0,58662.058865222796,10137.234068626472,8516.45690626591,1
26,503998.70354989014,0,34498.444356979664,29272.584842871936,70070.36215659317,38083.906130529045,18193.769195845434,16851.957536190796,0
58,335748.21404412074,0,30494.687083464967,25115.095258222314,35859.020509012065,51673.270357694375,10868.990225480164,10413.165214929953,0
53,250000.0,0,20336.20519870492,9777.419917805108,46360.16694890213,55346.13357047343,6412.1656100816945,6724.057175259811,0
30,419678.5135515825,0,15826.407509898489,36500.54943872889,90457.13646058067,35916.66719680793,10470.140894477096,11939.933790722724,0
56,412964.2775617653,1,32020.53184132671,40072.651391202366,0.0,37537.32628475682,17727.596394374326,16625.236505476747,0
40,532160.736043392,1,69295.31059815537,32439.655779358378,0.0,13848.430205531768,22769.478937455162,22304.28368755221,0
37,633400.0857758806,1,38317.89904078608,16194.801388552565,0.0,17131.742439495894,38320.23410545812,34347.096619777345,1
24,686861.4114875197,1,112435.54234611099,46339.624720465064,0.0,63346.02282359483,24013.43995579005,24154.738534983702,0
41,529623.1320206329,0,100064.37895080411,22767.919399756214,85738.25588118618,58823.07288643227,14819.498283069444,12401.845602663685,1
45,441792.87880988774,0,2818.909564527622,13293.924269254892,86835.9717613537,708.5790978079809,17909.066178120105,18105.250706060153,0
54,250000.0,0,26253.193509534776,20411.731041097824,50765.81679456772,60857.131019164364,4665.124310139811,4826.447985493425,0
45,430303.1405485011,1,4168.878144931415,34603.75459541049,0.0,1766.4419910761465,25730.09348522026,22280.122717153194,1
32,432241.0254908399,1,41864.49295292425,42296.58928296246,0.0,32079.62820596298,17707.456090110998,17914.779388089606,0
29,370203.9610515958,0,30650.69805259859,17828.774964143628,110865.52431707826,4720.290827763187,10740.222968369957,9300.391573541701,1
